Date : 2023-04-03 12:04:05
Directory : c:\Users\ketan\colon33\src
Total : 82 files,  5172 codes, 504 comments, 1101 blanks, all 6777 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| components\Openings                                                                                 |          4 |        258 |          6 |         52 |        316 |
| components\Openings (Files)                                                                         |          2 |         26 |          0 |          3 |         29 |
| components\Openings\CurrentOpenings                                                                 |          2 |        232 |          6 |         49 |        287 |
| components\Services                                                                                 |          4 |        396 |         17 |         71 |        484 |
| components\Services (Files)                                                                         |          2 |         32 |          4 |          4 |         40 |
| components\ServicesNav                                                                              |          2 |        162 |         16 |         38 |        216 |
| components\Services\ServicesDesc                                                                    |          2 |        364 |         13 |         67 |        444 |
| components\common                                                                                   |         20 |      1,123 |        294 |        240 |      1,657 |
| components\common\BannerComponent                                                                   |          2 |         86 |         79 |         24 |        189 |
| components\common\BannerForInside                                                                   |          2 |         65 |         60 |         21 |        146 |
| components\common\DescriptionCommon                                                                 |          2 |        109 |          6 |         17 |        132 |
| components\common\DropdownMenu                                                                      |          2 |        148 |          6 |          8 |        162 |
| components\common\FlippedDescCommon                                                                 |          2 |        101 |          7 |         16 |        124 |
| components\common\Footer                                                                            |          2 |        155 |          0 |         33 |        188 |
| components\common\Navbar                                                                            |          2 |        193 |         61 |         57 |        311 |
| components\common\PresenceComp                                                                      |          2 |         94 |          1 |         15 |        110 |
| components\common\SubServicesCommon                                                                 |          4 |        172 |         74 |         49 |        295 |
| components\common\SubServicesCommon (Files)                                                         |          2 |         28 |          2 |          2 |         32 |
| components\common\SubServicesCommon\SubServicesDesc                                                 |          2 |        144 |         72 |         47 |        263 |
+-----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| filename                                                                                            | language       | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| c:\Users\ketan\colon33\src\App.js                                                                   | JavaScript     |         31 |          1 |          5 |         37 |
| c:\Users\ketan\colon33\src\App.scss                                                                 | SCSS           |          3 |          4 |          8 |         15 |
| c:\Users\ketan\colon33\src\App.test.js                                                              | JavaScript     |          7 |          0 |          2 |          9 |
| c:\Users\ketan\colon33\src\components\Aboutus\Aboutus.jsx                                           | JavaScript JSX |         41 |          0 |          5 |         46 |
| c:\Users\ketan\colon33\src\components\Aboutus\Values\Values.jsx                                     | JavaScript JSX |         80 |          0 |          9 |         89 |
| c:\Users\ketan\colon33\src\components\Aboutus\Values\values.scss                                    | SCSS           |         99 |          3 |         22 |        124 |
| c:\Users\ketan\colon33\src\components\Aboutus\aboutus.scss                                          | SCSS           |          6 |          0 |          1 |          7 |
| c:\Users\ketan\colon33\src\components\ApplicationEngg\ApplicationEngg.jsx                           | JavaScript JSX |         81 |          0 |         12 |         93 |
| c:\Users\ketan\colon33\src\components\ApplicationEngg\appengg.scss                                  | SCSS           |          8 |          0 |          5 |         13 |
| c:\Users\ketan\colon33\src\components\Careers\CareersTestimonials\CareersTestimonials.jsx           | JavaScript JSX |         96 |          0 |         15 |        111 |
| c:\Users\ketan\colon33\src\components\Careers\CareersTestimonials\careerstestimonials.scss          | SCSS           |        208 |          2 |         39 |        249 |
| c:\Users\ketan\colon33\src\components\Careers\Carrers.jsx                                           | JavaScript JSX |         35 |          0 |          5 |         40 |
| c:\Users\ketan\colon33\src\components\Careers\Network\Network.jsx                                   | JavaScript JSX |         26 |          0 |          5 |         31 |
| c:\Users\ketan\colon33\src\components\Careers\Network\network.scss                                  | SCSS           |         54 |          0 |         10 |         64 |
| c:\Users\ketan\colon33\src\components\Careers\careers.scss                                          | SCSS           |          6 |          0 |          0 |          6 |
| c:\Users\ketan\colon33\src\components\Careers\cultureComp\CultureComp.jsx                           | JavaScript JSX |         61 |          0 |         10 |         71 |
| c:\Users\ketan\colon33\src\components\Careers\cultureComp\culture.scss                              | SCSS           |         85 |          0 |         12 |         97 |
| c:\Users\ketan\colon33\src\components\CloudEngg\CloudEngg.jsx                                       | JavaScript JSX |          7 |          0 |          2 |          9 |
| c:\Users\ketan\colon33\src\components\CloudEngg\cloud.scss                                          | SCSS           |          2 |          0 |          3 |          5 |
| c:\Users\ketan\colon33\src\components\Home\Banner\Banner.jsx                                        | JavaScript JSX |         80 |         25 |         17 |        122 |
| c:\Users\ketan\colon33\src\components\Home\Banner\banner.scss                                       | SCSS           |        148 |         10 |         68 |        226 |
| c:\Users\ketan\colon33\src\components\Home\Digital1\Digital1.jsx                                    | JavaScript JSX |         57 |          0 |          5 |         62 |
| c:\Users\ketan\colon33\src\components\Home\Digital1\digital1.scss                                   | SCSS           |         79 |          7 |         26 |        112 |
| c:\Users\ketan\colon33\src\components\Home\DigitalTransformation\Digital.jsx                        | JavaScript JSX |         51 |         14 |         14 |         79 |
| c:\Users\ketan\colon33\src\components\Home\DigitalTransformation\digital.scss                       | SCSS           |        104 |          7 |         31 |        142 |
| c:\Users\ketan\colon33\src\components\Home\Home.jsx                                                 | JavaScript JSX |         25 |          0 |          2 |         27 |
| c:\Users\ketan\colon33\src\components\Home\HomeCareers\HomeCareers.jsx                              | JavaScript JSX |         35 |          0 |          7 |         42 |
| c:\Users\ketan\colon33\src\components\Home\HomeCareers\homecareers.scss                             | SCSS           |         73 |          2 |         15 |         90 |
| c:\Users\ketan\colon33\src\components\Home\Partners\Partners.jsx                                    | JavaScript JSX |         96 |          0 |         13 |        109 |
| c:\Users\ketan\colon33\src\components\Home\Partners\partners.scss                                   | SCSS           |         92 |          6 |         18 |        116 |
| c:\Users\ketan\colon33\src\components\Home\Services\Services.jsx                                    | JavaScript JSX |         84 |          1 |         29 |        114 |
| c:\Users\ketan\colon33\src\components\Home\Services\services.scss                                   | SCSS           |        188 |         44 |         51 |        283 |
| c:\Users\ketan\colon33\src\components\Home\Testimonials\Testimonials.jsx                            | JavaScript JSX |        102 |          0 |         14 |        116 |
| c:\Users\ketan\colon33\src\components\Home\Testimonials\testimonials.scss                           | SCSS           |        103 |          5 |         19 |        127 |
| c:\Users\ketan\colon33\src\components\Home\home.scss                                                | SCSS           |          9 |          0 |          2 |         11 |
| c:\Users\ketan\colon33\src\components\Leadership\Leadership.jsx                                     | JavaScript JSX |         26 |          2 |          5 |         33 |
| c:\Users\ketan\colon33\src\components\Leadership\LeadershipCarousal\LeadershipCarousal.jsx          | JavaScript JSX |         52 |          3 |          5 |         60 |
| c:\Users\ketan\colon33\src\components\Leadership\LeadershipCarousal\carousal.scss                   | SCSS           |         27 |          2 |          8 |         37 |
| c:\Users\ketan\colon33\src\components\Leadership\LeadershipDetails\LeadershipDetails.jsx            | JavaScript JSX |        130 |          7 |         25 |        162 |
| c:\Users\ketan\colon33\src\components\Leadership\LeadershipDetails\leadershipDetails.scss           | SCSS           |        157 |          9 |         34 |        200 |
| c:\Users\ketan\colon33\src\components\Leadership\leadership.scss                                    | SCSS           |          6 |          0 |          1 |          7 |
| c:\Users\ketan\colon33\src\components\LetsTalk\Letstalk.jsx                                         | JavaScript JSX |         28 |          0 |          7 |         35 |
| c:\Users\ketan\colon33\src\components\LetsTalk\Location\Location.jsx                                | JavaScript JSX |         90 |          0 |         20 |        110 |
| c:\Users\ketan\colon33\src\components\LetsTalk\Location\location.scss                               | SCSS           |        135 |          8 |         19 |        162 |
| c:\Users\ketan\colon33\src\components\LetsTalk\contactusComponent\Contact.jsx                       | JavaScript JSX |        144 |          0 |         39 |        183 |
| c:\Users\ketan\colon33\src\components\LetsTalk\contactusComponent\contact.scss                      | SCSS           |        131 |          2 |         27 |        160 |
| c:\Users\ketan\colon33\src\components\LetsTalk\letstalk.scss                                        | SCSS           |          6 |          0 |          1 |          7 |
| c:\Users\ketan\colon33\src\components\Openings\CurrentOpenings\CurrentOpenings.jsx                  | JavaScript JSX |        110 |          0 |         21 |        131 |
| c:\Users\ketan\colon33\src\components\Openings\CurrentOpenings\current.scss                         | SCSS           |        122 |          6 |         28 |        156 |
| c:\Users\ketan\colon33\src\components\Openings\Openings.jsx                                         | JavaScript JSX |         20 |          0 |          2 |         22 |
| c:\Users\ketan\colon33\src\components\Openings\openings.scss                                        | SCSS           |          6 |          0 |          1 |          7 |
| c:\Users\ketan\colon33\src\components\ServicesNav\ServicesNav.jsx                                   | JavaScript JSX |         83 |          4 |         22 |        109 |
| c:\Users\ketan\colon33\src\components\ServicesNav\servicesnav.scss                                  | SCSS           |         79 |         12 |         16 |        107 |
| c:\Users\ketan\colon33\src\components\Services\Services.jsx                                         | JavaScript JSX |         26 |          4 |          4 |         34 |
| c:\Users\ketan\colon33\src\components\Services\ServicesDesc\ServicesDesc.jsx                        | JavaScript JSX |        153 |          0 |         35 |        188 |
| c:\Users\ketan\colon33\src\components\Services\ServicesDesc\servicesdesc.scss                       | SCSS           |        211 |         13 |         32 |        256 |
| c:\Users\ketan\colon33\src\components\Services\services1.scss                                       | SCSS           |          6 |          0 |          0 |          6 |
| c:\Users\ketan\colon33\src\components\common\BannerComponent\BannerComponent.jsx                    | JavaScript JSX |         42 |         24 |         10 |         76 |
| c:\Users\ketan\colon33\src\components\common\BannerComponent\bannercomp.scss                        | SCSS           |         44 |         55 |         14 |        113 |
| c:\Users\ketan\colon33\src\components\common\BannerForInside\BannerInside.jsx                       | JavaScript JSX |         18 |          0 |          6 |         24 |
| c:\Users\ketan\colon33\src\components\common\BannerForInside\bannerinside.scss                      | SCSS           |         47 |         60 |         15 |        122 |
| c:\Users\ketan\colon33\src\components\common\DescriptionCommon\DescriptionCommon.jsx                | JavaScript JSX |         39 |          1 |          5 |         45 |
| c:\Users\ketan\colon33\src\components\common\DescriptionCommon\descommon.scss                       | SCSS           |         70 |          5 |         12 |         87 |
| c:\Users\ketan\colon33\src\components\common\DropdownMenu\DropdownServices.js                       | JavaScript     |         49 |          6 |          3 |         58 |
| c:\Users\ketan\colon33\src\components\common\DropdownMenu\DropdownServices1.js                      | JavaScript     |         99 |          0 |          5 |        104 |
| c:\Users\ketan\colon33\src\components\common\FlippedDescCommon\Flipped.jsx                          | JavaScript JSX |         31 |          0 |          7 |         38 |
| c:\Users\ketan\colon33\src\components\common\FlippedDescCommon\flipped.scss                         | SCSS           |         70 |          7 |          9 |         86 |
| c:\Users\ketan\colon33\src\components\common\Footer\Footer.jsx                                      | JavaScript JSX |         51 |          0 |         13 |         64 |
| c:\Users\ketan\colon33\src\components\common\Footer\footer.scss                                     | SCSS           |        104 |          0 |         20 |        124 |
| c:\Users\ketan\colon33\src\components\common\Navbar\Navbar.jsx                                      | JavaScript JSX |         91 |         25 |         16 |        132 |
| c:\Users\ketan\colon33\src\components\common\Navbar\navbar.scss                                     | SCSS           |        102 |         36 |         41 |        179 |
| c:\Users\ketan\colon33\src\components\common\PresenceComp\Presence.jsx                              | JavaScript JSX |         45 |          0 |          7 |         52 |
| c:\Users\ketan\colon33\src\components\common\PresenceComp\presence.scss                             | SCSS           |         49 |          1 |          8 |         58 |
| c:\Users\ketan\colon33\src\components\common\SubServicesCommon\SubServicesCommon.jsx                | JavaScript JSX |         22 |          2 |          2 |         26 |
| c:\Users\ketan\colon33\src\components\common\SubServicesCommon\SubServicesDesc\SubServicesDesc.jsx  | JavaScript JSX |         45 |         56 |         24 |        125 |
| c:\Users\ketan\colon33\src\components\common\SubServicesCommon\SubServicesDesc\subservicesdesc.scss | SCSS           |         99 |         16 |         23 |        138 |
| c:\Users\ketan\colon33\src\components\common\SubServicesCommon\subservicescommon.scss               | SCSS           |          6 |          0 |          0 |          6 |
| c:\Users\ketan\colon33\src\index.css                                                                | CSS            |         13 |          0 |          2 |         15 |
| c:\Users\ketan\colon33\src\index.js                                                                 | JavaScript     |         12 |          3 |          3 |         18 |
| c:\Users\ketan\colon33\src\logo.svg                                                                 | XML            |          1 |          0 |          0 |          1 |
| c:\Users\ketan\colon33\src\reportWebVitals.js                                                       | JavaScript     |         12 |          0 |          2 |         14 |
| c:\Users\ketan\colon33\src\setupTests.js                                                            | JavaScript     |          1 |          4 |          1 |          6 |
| Total                                                                                               |                |      5,172 |        504 |      1,101 |      6,777 |
+-----------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
